season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000064,20201231,PHI,ORL,PHI @ ORL,data.nba.com mobile_teams v2015 play-by-play,204,ok,204,168,0,168,204,glm_poisson_log_raw_controls,0.22757855012372857,0.19651497695802062,1.1580722937587793,0.1467568070456473,1.1580722937587793,0.6608364965187268,86.96645002634816
2020-21,0022000065,20201231,SAC,HOU,SAC @ HOU,data.nba.com mobile_teams v2015 play-by-play,211,ok,211,0,0,0,211,glm_poisson_log_raw_controls,0.15968362825261245,0.21813505972344074,0.7320401793964938,-0.31191987664129966,0.7320401793964938,0.38606814796758815,45.810644651326186
2020-21,0022000066,20201231,NYK,TOR,NYK @ TOR,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,27,0,27,201,glm_poisson_log_raw_controls,0.2396862802905115,0.24601389344077482,0.9742794479540781,-0.026057108939314323,0.9742794479540781,0.9322390327914397,74.6530827331811
2020-21,0022000067,20201231,NOP,OKC,NOP @ OKC,data.nba.com mobile_teams v2015 play-by-play,193,ok,193,43,0,43,193,glm_poisson_log_raw_controls,0.18572460206498104,0.21808857051720051,0.8516017213764673,-0.16063632462095317,0.8516017213764673,0.648632778694554,61.215527841208505
2020-21,0022000068,20201231,PHX,UTA,PHX @ UTA,data.nba.com mobile_teams v2015 play-by-play,193,ok,193,21,0,21,193,glm_poisson_log_raw_controls,0.119807038273839,0.20806595194063462,0.5758127995301333,-0.5519726719261973,0.5758127995301333,0.1943176443951249,24.38081854909538
2020-21,0022000069,20210101,MEM,CHA,MEM @ CHA,data.nba.com mobile_teams v2015 play-by-play,200,ok,200,76,0,76,200,glm_poisson_log_raw_controls,0.16752283790761852,0.16407341596271216,1.0210236492284055,0.02080570172368268,1.0210236492284055,0.9581422387010236,78.32425786053048
2020-21,0022000070,20210101,BOS,DET,BOS @ DET,data.nba.com mobile_teams v2015 play-by-play,205,ok,205,61,1,62,205,glm_poisson_log_raw_controls,0.16780540321304502,0.18728191597286734,0.8960043063493434,-0.10981005982529268,0.8960043063493434,0.7615270766020271,66.5729843667662
2020-21,0022000071,20210101,MIA,DAL,MIA @ DAL,data.nba.com mobile_teams v2015 play-by-play,195,ok,195,82,0,82,195,glm_poisson_log_raw_controls,0.3056135838186779,0.326265788879874,0.9367012853781005,-0.06539084652704089,0.9367012853781005,0.8028322606078799,70.4900755313543
2020-21,0022000072,20210101,ATL,BKN,ATL @ BKN,data.nba.com mobile_teams v2015 play-by-play,198,ok,198,43,0,43,198,glm_poisson_log_raw_controls,0.09053990693121368,0.2568648666115694,0.3524806958832871,-1.042759421681054,0.3524806958832871,0.014720336898326691,4.2683997892148255
2020-21,0022000073,20210101,CHI,MIL,CHI @ MIL,data.nba.com mobile_teams v2015 play-by-play,218,ok,218,128,0,128,218,glm_poisson_log_raw_controls,0.14294879811845718,0.21615066665394347,0.6613386871821115,-0.41348918430073034,0.6613386871821115,0.2606291227182336,35.72808712453891
