season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_z_score
2025-26,2026-03-24,0022500045,2025-11-14T20:00:00-05:00,3,Final,LAL,NOP,LAL @ NOP,207,207,53,0,53,154,0.20509150348080965,0.20904345540996125,0.981095069819807,-0.019085912981052635,0.9810950698198069,0.9603119591562367,ok,0.4661173797655514
2025-26,2026-03-24,0022500046,2025-11-14T20:30:00-05:00,3,Final,LAC,DAL,LAC @ DAL,249,249,1,0,1,248,0.30978941465050863,0.25908745765698604,1.1956943707427492,0.17872708001456716,1.195694370742749,0.46802563540646813,ok,0.9300581309525379
2025-26,2026-03-24,0022500047,2025-11-14T21:30:00-05:00,3,Final,GSW,SAS,GSW @ SAS,193,193,0,1,1,192,0.21549784638023173,0.170266615667641,1.2656494377082217,0.2355853799328504,1.2656494377082217,0.52250982076442,ok,1.0812935085969
2025-26,2026-03-24,0022500048,2025-11-21T19:00:00-05:00,3,Final,IND,CLE,IND @ CLE,205,205,29,0,29,176,0.32737452588491106,0.2950293291007267,1.109633834991169,0.10403008251606483,1.109633834991169,0.7139055779021627,ok,0.7440044512228005
2025-26,2026-03-24,0022500049,2025-11-21T19:30:00-05:00,3,Final,BKN,BOS,BKN @ BOS,192,192,9,0,9,183,0.2359412357576441,0.2512040047228339,0.9392415380398494,-0.06268260384215954,0.9392415380398491,0.8438471424432409,ok,0.3756345175646427
2025-26,2026-03-24,0022500050,2025-11-21T19:30:00-05:00,3,Final,WAS,TOR,WAS @ TOR,209,209,82,1,82,127,0.1040819658869639,0.21452261541307202,0.4851794561918325,-0.7232364437158316,0.48517945619183234,0.18959968006298678,ok,-0.6059991710452677
2025-26,2026-03-24,0022500051,2025-11-21T20:00:00-05:00,3,Final,MIA,CHI,MIA @ CHI,217,217,142,0,142,75,0.2300534629395222,0.35896741940104987,0.6408756073834632,-0.4449199011377999,0.6408756073834632,0.3285256475142533,ok,-0.2694007337246108
2025-26,2026-03-24,0022500052,2025-11-21T20:30:00-05:00,3,Final,NOP,DAL,NOP @ DAL,210,210,1,1,2,208,0.18818820494345564,0.24942989623180203,0.7544733321324368,-0.2817353464851193,0.7544733321324368,0.38893754362843547,ok,-0.02381459469009598
2025-26,2026-03-24,0022500053,2025-11-21T21:00:00-05:00,3,Final,MIN,PHX,MIN @ PHX,206,206,15,1,16,190,0.2976649111434437,0.2927299009322545,1.0168585791730627,0.016718050536809116,1.0168585791730624,0.9520291807041605,ok,0.5434342644109031
2025-26,2026-03-24,0022500054,2025-11-21T21:30:00-05:00,3,Final,DEN,HOU,DEN @ HOU,188,188,0,4,4,184,0.21669429805128623,0.2512713183340546,0.8623916947146365,-0.14804570930671293,0.8623916947146363,0.6534144086828761,ok,0.20949337037747656
2025-26,2026-03-24,0022500055,2025-11-21T22:00:00-05:00,3,Final,OKC,UTA,OKC @ UTA,205,205,77,0,77,128,0.2108076382178098,0.21099222652309862,0.9991251416778208,-0.0008752412340663485,0.999125141677821,0.9983513190653803,ok,0.5050964679815281
2025-26,2026-03-24,0022500056,2025-11-21T22:00:00-05:00,3,Final,POR,GSW,POR @ GSW,201,201,0,1,1,200,0.17498767411090368,0.3000140883844805,0.5832648561711866,-0.5391138970441874,0.5832648561711865,0.08905539699887968,ok,-0.39394902013057437
2025-26,2026-03-24,0022500057,2025-11-25T19:00:00-05:00,3,Final,ATL,WAS,ATL @ WAS,205,205,183,0,183,22,0.0857485121185564,0.4836530098015164,0.1772934529110989,-1.7299489931991263,0.17729345291109894,0.14681065476055788,ok,-1.2716158017970773
2025-26,2026-03-24,0022500058,2025-11-25T20:00:00-05:00,3,Final,ORL,PHI,ORL @ PHI,211,211,127,1,127,84,0.39627350277766926,0.24200506279695816,1.6374595564149088,0.49314598984968544,1.637459556414909,0.225631467274506,ok,1.8851072443818229
2025-26,2026-03-24,0022500059,2025-11-25T23:00:00-05:00,3,Final,LAC,LAL,LAC @ LAL,191,191,12,0,12,179,0.23616851860952845,0.2896722454223023,0.8152956396123737,-0.20420448352777773,0.8152956396123736,0.5138669822817551,ok,0.10767673309992425
2025-26,2026-03-24,0022500060,2025-11-26T17:00:00-05:00,3,Final,DET,BOS,DET @ BOS,192,192,0,3,3,189,0.22206805420471423,0.25524247681150775,0.8700278142525146,-0.13923009743936074,0.8700278142525147,0.6602521931930981,ok,0.2260018446330796
2025-26,2026-03-24,0022500061,2025-11-26T19:00:00-05:00,3,Final,NYK,CHA,NYK @ CHA,196,196,110,0,110,86,0.0943718622623448,0.23980433315700672,0.39353693496671244,-0.9325803528440858,0.3935369349667126,0.15920822524619727,ok,-0.8041205067392658
2025-26,2026-03-24,0022500062,2025-11-26T19:30:00-05:00,3,Final,MIL,MIA,MIL @ MIA,200,200,0,0,0,200,0.08917397657623258,0.14180386770981795,0.6288543325116831,-0.46385563493381843,0.6288543325116832,0.39834578303989965,ok,-0.2953894451055557
2025-26,2026-03-24,0022500063,2025-11-26T19:30:00-05:00,3,Final,IND,TOR,IND @ TOR,200,200,0,0,0,200,0.19939110700262438,0.22254944331855495,0.8959407133506869,-0.10988103633180818,0.895940713350687,0.743325675123595,ok,0.2820227627876801
2025-26,2026-03-24,0022500064,2025-11-26T19:30:00-05:00,3,Final,MIN,OKC,MIN @ OKC,197,197,0,2,2,195,0.2156153242078642,0.3836074120768332,0.5620728834214453,-0.5761237516936393,0.5620728834214453,0.0401761866047443,ok,-0.43976380011524685
2025-26,2026-03-24,0022500065,2025-11-26T20:00:00-05:00,3,Final,MEM,NOP,MEM @ NOP,216,216,15,1,16,200,0.1469516986436301,0.19704369382821946,0.7457822972591095,-0.293321548098499,0.7457822972591094,0.47848675600498236,ok,-0.04260368314650073
