season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,as_of_utc_date,game_status,game_status_text,wmi_percentile
2020-21,22000074,20210101,WAS,MIN,WAS @ MIN,data.nba.com mobile_teams v2015 play-by-play,207,64,143,0.125,0.2447552447552447,0.5107142857142857,,,,9.394975471978594
2020-21,22000075,20210101,LAL,SAS,LAL @ SAS,data.nba.com mobile_teams v2015 play-by-play,200,63,137,0.1587301587301587,0.2262773722627737,0.701484895033282,,,,26.074030028244387
2020-21,22000076,20210101,PHX,DEN,PHX @ DEN,data.nba.com mobile_teams v2015 play-by-play,184,57,127,0.2631578947368421,0.2204724409448819,1.193609022556391,,,,75.87334621673851
2020-21,22000077,20210101,LAC,UTA,LAC @ UTA,data.nba.com mobile_teams v2015 play-by-play,180,59,121,0.2033898305084746,0.2479338842975206,0.8203389830508475,,,,40.062434963579605
2020-21,22000078,20210101,POR,GSW,POR @ GSW,data.nba.com mobile_teams v2015 play-by-play,206,80,126,0.1375,0.3253968253968254,0.4225609756097561,,,,4.548833060799763
2020-21,22000079,20210102,SAC,HOU,SAC @ HOU,data.nba.com mobile_teams v2015 play-by-play,192,72,120,0.2222222222222222,0.2916666666666667,0.7619047619047619,,,,33.66285119667013
2020-21,22000080,20210102,NYK,IND,NYK @ IND,data.nba.com mobile_teams v2015 play-by-play,185,55,130,0.2363636363636363,0.1923076923076923,1.229090909090909,,,,78.7572469154155
2020-21,22000081,20210102,OKC,ORL,OKC @ ORL,data.nba.com mobile_teams v2015 play-by-play,199,55,144,0.1636363636363636,0.2013888888888889,0.812539184952978,,,,39.06644863980972
2020-21,22000082,20210102,CHA,PHI,CHA @ PHI,data.nba.com mobile_teams v2015 play-by-play,206,66,140,0.1969696969696969,0.2357142857142857,0.8356290174471992,,,,41.62330905306972
2020-21,22000083,20210102,CLE,ATL,CLE @ ATL,data.nba.com mobile_teams v2015 play-by-play,190,63,127,0.3015873015873015,0.2283464566929134,1.3207443897099067,,,,84.01962241712502
2020-21,22000084,20210102,TOR,NOP,TOR @ NOP,data.nba.com mobile_teams v2015 play-by-play,199,68,131,0.3235294117647059,0.2519083969465648,1.2843137254901962,,,,81.99791883454735
2020-21,22000085,20210103,BOS,DET,BOS @ DET,data.nba.com mobile_teams v2015 play-by-play,189,55,134,0.1818181818181818,0.208955223880597,0.8701298701298702,,,,45.42886873792181
2020-21,22000086,20210103,WAS,BKN,WAS @ BKN,data.nba.com mobile_teams v2015 play-by-play,216,75,141,0.1333333333333333,0.2695035460992908,0.4947368421052631,,,,8.384123680689758
2020-21,22000087,20210103,LAL,MEM,LAL @ MEM,data.nba.com mobile_teams v2015 play-by-play,189,53,136,0.2830188679245283,0.1838235294117647,1.5396226415094338,,,,92.50780437044746
2020-21,22000088,20210103,DEN,MIN,DEN @ MIN,data.nba.com mobile_teams v2015 play-by-play,193,46,147,0.0434782608695652,0.1632653061224489,0.266304347826087,,,,0.7432733759476735
2020-21,22000089,20210103,UTA,SAS,UTA @ SAS,data.nba.com mobile_teams v2015 play-by-play,211,65,146,0.1384615384615384,0.2123287671232876,0.6521091811414392,,,,20.930578266686485
2020-21,22000090,20210103,DAL,CHI,DAL @ CHI,data.nba.com mobile_teams v2015 play-by-play,201,77,124,0.4025974025974026,0.2741935483870967,1.4682964094728803,,,,90.29284971012338
2020-21,22000091,20210103,LAC,PHX,LAC @ PHX,data.nba.com mobile_teams v2015 play-by-play,186,62,124,0.3709677419354839,0.2419354838709677,1.5333333333333332,,,,92.28482235766316
2020-21,22000092,20210103,POR,GSW,POR @ GSW,data.nba.com mobile_teams v2015 play-by-play,212,81,131,0.2962962962962963,0.2671755725190839,1.108994708994709,,,,69.57038798870224
2020-21,22000093,20210104,CLE,ORL,CLE @ ORL,data.nba.com mobile_teams v2015 play-by-play,186,44,142,0.0909090909090909,0.1549295774647887,0.5867768595041323,,,,14.64248550616917
2020-21,22000094,20210104,CHA,PHI,CHA @ PHI,data.nba.com mobile_teams v2015 play-by-play,203,61,142,0.3114754098360656,0.2112676056338028,1.4743169398907106,,,,90.50096625538872
2020-21,22000095,20210104,NYK,ATL,NYK @ ATL,data.nba.com mobile_teams v2015 play-by-play,197,65,132,0.2307692307692307,0.2272727272727272,1.0153846153846156,,,,61.364649918239934
2020-21,22000096,20210104,OKC,MIA,OKC @ MIA,data.nba.com mobile_teams v2015 play-by-play,201,60,141,0.2333333333333333,0.2056737588652482,1.1344827586206898,,,,71.54749516872305
2020-21,22000097,20210104,BOS,TOR,BOS @ TOR,data.nba.com mobile_teams v2015 play-by-play,209,81,128,0.382716049382716,0.3125,1.2246913580246912,,,,78.38561022744165
2020-21,22000098,20210104,DAL,HOU,DAL @ HOU,data.nba.com mobile_teams v2015 play-by-play,188,76,112,0.2631578947368421,0.3392857142857143,0.7756232686980609,,,,35.20142708488182
2020-21,22000099,20210104,DET,MIL,DET @ MIL,data.nba.com mobile_teams v2015 play-by-play,203,53,150,0.2264150943396226,0.1733333333333333,1.3062409288824384,,,,83.28378177493683
2020-21,22000100,20210104,IND,NOP,IND @ NOP,data.nba.com mobile_teams v2015 play-by-play,215,63,152,0.2063492063492063,0.2039473684210526,1.0117767537122375,,,,61.03760963282296
2020-21,22000101,20210104,SAC,GSW,SAC @ GSW,data.nba.com mobile_teams v2015 play-by-play,218,78,140,0.1923076923076923,0.2642857142857143,0.7276507276507277,,,,29.40389475248997
2020-21,22000102,20210105,UTA,BKN,UTA @ BKN,data.nba.com mobile_teams v2015 play-by-play,205,70,135,0.2571428571428571,0.2518518518518518,1.0210084033613445,,,,61.89237401516278
2020-21,22000103,20210105,LAL,MEM,LAL @ MEM,data.nba.com mobile_teams v2015 play-by-play,191,48,143,0.125,0.1818181818181818,0.6875,,,,24.70640701650067
2020-21,22000104,20210105,MIN,DEN,MIN @ DEN,data.nba.com mobile_teams v2015 play-by-play,209,81,128,0.2962962962962963,0.3203125,0.9250225835591688,,,,51.85075070610971
2020-21,22000105,20210105,SAS,LAC,SAS @ LAC,data.nba.com mobile_teams v2015 play-by-play,196,49,147,0.1632653061224489,0.1632653061224489,1.0,,,,59.722015757395575
2020-21,22000106,20210105,CHI,POR,CHI @ POR,data.nba.com mobile_teams v2015 play-by-play,200,53,147,0.3018867924528302,0.1700680272108843,1.7750943396226415,,,,96.90798275605768
2020-21,22000107,20210106,HOU,IND,HOU @ IND,data.nba.com mobile_teams v2015 play-by-play,200,74,126,0.1621621621621621,0.2936507936507936,0.5522279035792549,,,,12.24914523561766
2020-21,22000108,20210106,CLE,ORL,CLE @ ORL,data.nba.com mobile_teams v2015 play-by-play,186,62,124,0.1935483870967742,0.2580645161290322,0.75,,,,32.161438977255834
2020-21,22000109,20210106,WAS,PHI,WAS @ PHI,data.nba.com mobile_teams v2015 play-by-play,219,80,139,0.2625,0.2877697841726618,0.9121875,,,,50.275011149100635
2020-21,22000110,20210106,CHA,ATL,CHA @ ATL,data.nba.com mobile_teams v2015 play-by-play,204,67,137,0.2835820895522388,0.218978102189781,1.2950248756218905,,,,82.63713393786234
2020-21,22000111,20210106,BOS,MIA,BOS @ MIA,data.nba.com mobile_teams v2015 play-by-play,187,60,127,0.3,0.2204724409448819,1.3607142857142858,,,,86.13051880481642
2020-21,22000112,20210106,UTA,NYK,UTA @ NYK,data.nba.com mobile_teams v2015 play-by-play,195,51,144,0.0980392156862745,0.1805555555555555,0.5429864253393665,,,,11.639661067340567
2020-21,22000113,20210106,DET,MIL,DET @ MIL,data.nba.com mobile_teams v2015 play-by-play,203,74,129,0.1621621621621621,0.2790697674418604,0.5810810810810811,,,,14.25598335067638
2020-21,22000114,20210106,OKC,NOP,OKC @ NOP,data.nba.com mobile_teams v2015 play-by-play,205,60,145,0.15,0.2068965517241379,0.725,,,,29.084287200832463
2020-21,22000115,20210106,TOR,PHX,TOR @ PHX,data.nba.com mobile_teams v2015 play-by-play,193,70,123,0.2285714285714285,0.2926829268292683,0.780952380952381,,,,35.691987513007284
