season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_game,wmi_game_percentile
2025-26,2026-03-23,22500130,2025-10-29T19:30:00-04:00,3,Final,ATL,BKN,ATL @ BKN,192,72,120,0.2777777777777778,0.3,0.925925925925926,55.802707930367504
2025-26,2026-03-23,22500131,2025-10-29T18:30:00-04:00,3,Final,HOU,TOR,HOU @ TOR,202,69,133,0.1884057971014492,0.2556390977443609,0.736999147485081,31.6247582205029
2025-26,2026-03-23,22500132,2025-10-29T20:00:00-04:00,3,Final,SAC,CHI,SAC @ CHI,199,63,136,0.2063492063492063,0.2279411764705882,0.905273937532002,53.57833655705995
2025-26,2026-03-23,22500133,2025-10-29T20:30:00-04:00,3,Final,IND,DAL,IND @ DAL,210,72,138,0.2083333333333333,0.2826086956521739,0.7371794871794872,31.721470019342355
2025-26,2026-03-23,22500134,2025-10-29T21:00:00-04:00,3,Final,NOP,DEN,NOP @ DEN,195,65,130,0.2307692307692307,0.2384615384615384,0.967741935483871,60.251450676982586
2025-26,2026-03-23,22500135,2025-10-29T21:00:00-04:00,3,Final,POR,UTA,POR @ UTA,220,86,134,0.3720930232558139,0.3059701492537313,1.2161089052750993,80.27079303675049
2025-26,2026-03-23,22500136,2025-10-29T21:30:00-04:00,3,Final,LAL,MIN,LAL @ MIN,194,68,126,0.2794117647058823,0.2777777777777778,1.0058823529411764,63.73307543520309
2025-26,2026-03-23,22500137,2025-10-29T22:00:00-04:00,3,Final,MEM,PHX,MEM @ PHX,212,53,159,0.2075471698113207,0.1698113207547169,1.2222222222222223,80.56092843326887
2025-26,2026-03-23,22500138,2025-10-30T19:00:00-04:00,3,Final,ORL,CHA,ORL @ CHA,190,57,133,0.1403508771929824,0.2180451127819548,0.6436781609195402,19.43907156673114
2025-26,2026-03-23,22500139,2025-10-30T20:00:00-04:00,3,Final,GSW,MIL,GSW @ MIL,205,59,146,0.288135593220339,0.1986301369863013,1.4506136762127413,91.58607350096712
2025-26,2026-03-23,22500140,2025-10-30T20:00:00-04:00,3,Final,WAS,OKC,WAS @ OKC,200,67,133,0.1641791044776119,0.2330827067669172,0.7043813192103997,27.36943907156673
2025-26,2026-03-23,22500141,2025-10-30T20:30:00-04:00,3,Final,MIA,SAS,MIA @ SAS,199,55,144,0.109090909090909,0.1944444444444444,0.561038961038961,12.475822050290136
