season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900060,2019-10-30,DET,TOR,DET @ TOR,113,125,,206,55,151,0.12727272727272726,0.1986754966887417,0.6406060606060606,data.nba.com mobile_teams v2015 play-by-play,19.338942307692307
2019-20,2019,Regular Season,0021900061,2019-10-30,HOU,WAS,HOU @ WAS,159,158,,224,74,150,0.2972972972972973,0.24666666666666667,1.2052593133674214,data.nba.com mobile_teams v2015 play-by-play,77.64423076923077
2019-20,2019,Regular Season,0021900062,2019-10-30,POR,OKC,POR @ OKC,102,99,,211,78,133,0.28205128205128205,0.3007518796992481,0.9378205128205128,data.nba.com mobile_teams v2015 play-by-play,53.20913461538461
2019-20,2019,Regular Season,0021900063,2019-10-30,LAC,UTA,LAC @ UTA,96,110,,196,53,143,0.2641509433962264,0.16783216783216784,1.5738993710691822,data.nba.com mobile_teams v2015 play-by-play,93.41346153846153
2019-20,2019,Regular Season,0021900064,2019-10-30,CHA,SAC,CHA @ SAC,118,111,,203,50,153,0.1,0.16993464052287582,0.5884615384615385,data.nba.com mobile_teams v2015 play-by-play,14.501201923076923
2019-20,2019,Regular Season,0021900065,2019-10-30,PHX,GSW,PHX @ GSW,121,110,,213,71,142,0.2112676056338028,0.2535211267605634,0.8333333333333334,data.nba.com mobile_teams v2015 play-by-play,41.35817307692308
2019-20,2019,Regular Season,0021900066,2019-10-31,MIA,ATL,MIA @ ATL,106,97,,192,51,141,0.23529411764705882,0.18439716312056736,1.2760180995475114,data.nba.com mobile_teams v2015 play-by-play,82.1514423076923
2019-20,2019,Regular Season,0021900067,2019-10-31,DEN,NOP,DEN @ NOP,107,122,,205,62,143,0.22580645161290322,0.22377622377622378,1.0090725806451613,data.nba.com mobile_teams v2015 play-by-play,61.06370192307692
2019-20,2019,Regular Season,0021900068,2019-10-31,SAS,LAC,SAS @ LAC,97,103,,199,71,128,0.23943661971830985,0.2734375,0.8756539235412474,data.nba.com mobile_teams v2015 play-by-play,45.99759615384615
2019-20,2019,Regular Season,0021900069,2019-11-01,HOU,BKN,HOU @ BKN,116,123,,217,71,146,0.30985915492957744,0.21232876712328766,1.4593366651522035,data.nba.com mobile_teams v2015 play-by-play,90.3125
2019-20,2019,Regular Season,0021900070,2019-11-01,CLE,IND,CLE @ IND,95,102,,211,65,146,0.16923076923076924,0.23972602739726026,0.705934065934066,data.nba.com mobile_teams v2015 play-by-play,26.490384615384617
2019-20,2019,Regular Season,0021900071,2019-11-01,MIL,ORL,MIL @ ORL,123,91,,205,58,147,0.1896551724137931,0.19047619047619047,0.9956896551724138,data.nba.com mobile_teams v2015 play-by-play,59.61538461538461
2019-20,2019,Regular Season,0021900072,2019-11-01,NYK,BOS,NYK @ BOS,102,104,,196,64,132,0.25,0.22727272727272727,1.1,data.nba.com mobile_teams v2015 play-by-play,69.55528846153847
2019-20,2019,Regular Season,0021900073,2019-11-01,DET,CHI,DET @ CHI,106,112,,201,65,136,0.26153846153846155,0.25,1.0461538461538462,data.nba.com mobile_teams v2015 play-by-play,64.75360576923077
2019-20,2019,Regular Season,0021900074,2019-11-01,LAL,DAL,LAL @ DAL,119,110,,222,65,157,0.23076923076923078,0.21019108280254778,1.097902097902098,data.nba.com mobile_teams v2015 play-by-play,69.36298076923076
2019-20,2019,Regular Season,0021900075,2019-11-01,UTA,SAC,UTA @ SAC,101,102,,188,64,124,0.265625,0.2661290322580645,0.9981060606060607,data.nba.com mobile_teams v2015 play-by-play,59.855769230769226
2019-20,2019,Regular Season,0021900076,2019-11-01,SAS,GSW,SAS @ GSW,127,110,,195,61,134,0.19672131147540983,0.23134328358208955,0.8503437334743522,data.nba.com mobile_teams v2015 play-by-play,43.46754807692308
2019-20,2019,Regular Season,0021900077,2019-11-02,NOP,OKC,NOP @ OKC,104,115,,203,75,128,0.17333333333333334,0.2890625,0.5996396396396396,data.nba.com mobile_teams v2015 play-by-play,15.348557692307693
