season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500077,2025-11-28T21:30:00-05:00,3,Final,SAC,UTA,SAC @ UTA,206,74,132,0.22972972972972974,0.2803030303030303,0.8195763330898467,-0.32014296950892784
2025-26,2026-03-23,0022500078,2025-11-28T22:00:00-05:00,3,Final,DAL,LAL,DAL @ LAL,188,64,124,0.328125,0.24193548387096775,1.35625,1.175508861577393
2025-26,2026-03-23,0022500079,2025-11-28T22:00:00-05:00,3,Final,MEM,LAC,MEM @ LAC,196,57,139,0.12280701754385964,0.20863309352517986,0.588626739261948,-0.9637746663761545
2025-26,2026-03-23,0022500080,2025-10-22T19:00:00-04:00,3,Final,BKN,CHA,BKN @ CHA,211,84,127,0.44047619047619047,0.2755905511811024,1.598299319727891,1.8500743015933385
2025-26,2026-03-23,0022500081,2025-10-22T19:00:00-04:00,3,Final,MIA,ORL,MIA @ ORL,219,79,140,0.189873417721519,0.2857142857142857,0.6645569620253166,-0.7521652960773191
2025-26,2026-03-23,0022500082,2025-10-22T19:30:00-04:00,3,Final,TOR,ATL,TOR @ ATL,224,80,144,0.3,0.2569444444444444,1.1675675675675676,0.6496712008884568
2025-26,2026-03-23,0022500083,2025-10-22T19:30:00-04:00,3,Final,PHI,BOS,PHI @ BOS,199,75,124,0.38666666666666666,0.25806451612903225,1.4983333333333333,1.5714798412797095
2025-26,2026-03-23,0022500084,2025-10-22T20:00:00-04:00,3,Final,DET,CHI,DET @ CHI,210,77,133,0.23376623376623376,0.2932330827067669,0.7972027972027972,-0.382495609447461
2025-26,2026-03-23,0022500085,2025-10-22T20:00:00-04:00,3,Final,NOP,MEM,NOP @ MEM,216,89,127,0.33707865168539325,0.3464566929133858,0.9729315628192032,0.10724157401065319
2025-26,2026-03-23,0022500086,2025-10-22T20:00:00-04:00,3,Final,WAS,MIL,WAS @ MIL,214,62,152,0.3225806451612903,0.19078947368421054,1.6907675194660732,2.1077732363145407
2025-26,2026-03-23,0022500087,2025-10-22T21:00:00-04:00,3,Final,LAC,UTA,LAC @ UTA,189,68,121,0.16176470588235295,0.2975206611570248,0.5437091503267975,-1.0889551592548699
2025-26,2026-03-23,0022500088,2025-10-22T22:00:00-04:00,3,Final,SAC,PHX,SAC @ PHX,201,64,137,0.203125,0.24087591240875914,0.8432765151515151,-0.25409310926201545
2025-26,2026-03-23,0022500089,2025-10-22T22:00:00-04:00,3,Final,MIN,POR,MIN @ POR,206,70,136,0.34285714285714286,0.2426470588235294,1.412987012987013,1.3336288190050807
2025-26,2026-03-23,0022500090,2025-10-24T19:00:00-04:00,3,Final,ATL,ORL,ATL @ ORL,204,70,134,0.3,0.26119402985074625,1.1485714285714286,0.5967310031017408
2025-26,2026-03-23,0022500091,2025-10-24T19:30:00-04:00,3,Final,CLE,BKN,CLE @ BKN,207,71,136,0.30985915492957744,0.23529411764705882,1.3169014084507042,1.0658485658893162
2025-26,2026-03-23,0022500092,2025-10-24T18:30:00-04:00,3,Final,MIL,TOR,MIL @ TOR,208,75,133,0.14666666666666667,0.2781954887218045,0.5272072072072073,-1.1349443011954403
2025-26,2026-03-23,0022500093,2025-10-24T20:00:00-04:00,3,Final,DET,HOU,DET @ HOU,198,87,111,0.26436781609195403,0.36936936936936937,0.7157275021026073,-0.6095585003966051
2025-26,2026-03-23,0022500094,2025-10-24T20:00:00-04:00,3,Final,MIA,MEM,MIA @ MEM,226,65,161,0.1076923076923077,0.20496894409937888,0.5254079254079255,-1.139958706193602
2025-26,2026-03-23,0022500095,2025-10-24T20:00:00-04:00,3,Final,SAS,NOP,SAS @ NOP,209,79,130,0.21518987341772153,0.3153846153846154,0.682309354739117,-0.7026912855087994
2025-26,2026-03-23,0022500096,2025-10-24T20:30:00-04:00,3,Final,WAS,DAL,WAS @ DAL,216,68,148,0.2647058823529412,0.21621621621621623,1.2242647058823528,0.8076800318901451
2025-26,2026-03-23,0022500097,2025-10-24T22:00:00-04:00,3,Final,GSW,POR,GSW @ POR,220,78,142,0.16666666666666666,0.2676056338028169,0.6228070175438597,-0.8685179043037575
2025-26,2026-03-23,0022500098,2025-10-24T22:00:00-04:00,3,Final,UTA,SAC,UTA @ SAC,195,46,149,0.15217391304347827,0.16778523489932887,0.9069565217391304,-0.07662377486238145
2025-26,2026-03-23,0022500099,2025-10-24T22:30:00-04:00,3,Final,PHX,LAC,PHX @ LAC,191,64,127,0.234375,0.25196850393700787,0.93017578125,-0.011914194077761963
2025-26,2026-03-23,0022500100,2025-10-25T19:00:00-04:00,3,Final,CHI,ORL,CHI @ ORL,213,84,129,0.2261904761904762,0.32558139534883723,0.6947278911564625,-0.66808215918637
2025-26,2026-03-23,0022500101,2025-10-25T19:30:00-04:00,3,Final,OKC,ATL,OKC @ ATL,189,65,124,0.16923076923076924,0.25806451612903225,0.6557692307692308,-0.7766557586333283
2025-26,2026-03-23,0022500102,2025-10-25T19:30:00-04:00,3,Final,CHA,PHI,CHA @ PHI,205,70,135,0.2714285714285714,0.25925925925925924,1.046938775510204,0.31349172191183755
