season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,error_message
2021-22,2021,Regular Season,0022100798,2022-02-05,PHX,WAS,PHX @ WAS,95,80,,No mobile play-by-play rows found for game_id 0022100798.
2021-22,2021,Regular Season,0022100797,2022-02-05,MIA,CHA,MIA @ CHA,104,86,,No mobile play-by-play rows found for game_id 0022100797.
2021-22,2021,Regular Season,0022100799,2022-02-05,NYK,LAL,NYK @ LAL,115,122,,No mobile play-by-play rows found for game_id 0022100799.
2021-22,2021,Regular Season,0022100800,2022-02-05,MIL,POR,MIL @ POR,137,108,,No mobile play-by-play rows found for game_id 0022100800.
2021-22,2021,Regular Season,0022100801,2022-02-05,OKC,SAC,OKC @ SAC,103,113,,No mobile play-by-play rows found for game_id 0022100801.
2021-22,2021,Regular Season,0022100802,2022-02-06,PHI,CHI,PHI @ CHI,119,108,,No mobile play-by-play rows found for game_id 0022100802.
2021-22,2021,Regular Season,0022100804,2022-02-06,BKN,DEN,BKN @ DEN,104,124,,No mobile play-by-play rows found for game_id 0022100804.
2021-22,2021,Regular Season,0022100803,2022-02-06,DET,MIN,DET @ MIN,105,118,,No mobile play-by-play rows found for game_id 0022100803.
2021-22,2021,Regular Season,0022100805,2022-02-06,IND,CLE,IND @ CLE,85,98,,No mobile play-by-play rows found for game_id 0022100805.
2021-22,2021,Regular Season,0022100806,2022-02-06,BOS,ORL,BOS @ ORL,116,83,,No mobile play-by-play rows found for game_id 0022100806.
2021-22,2021,Regular Season,0022100807,2022-02-06,ATL,DAL,ATL @ DAL,94,103,,No mobile play-by-play rows found for game_id 0022100807.
2021-22,2021,Regular Season,0022100808,2022-02-06,NOP,HOU,NOP @ HOU,120,107,,No mobile play-by-play rows found for game_id 0022100808.
2021-22,2021,Regular Season,0022100809,2022-02-06,MIL,LAC,MIL @ LAC,137,113,,No mobile play-by-play rows found for game_id 0022100809.
2021-22,2021,Regular Season,0022100810,2022-02-07,TOR,CHA,TOR @ CHA,116,101,,No mobile play-by-play rows found for game_id 0022100810.
2021-22,2021,Regular Season,0022100811,2022-02-07,MIA,WAS,MIA @ WAS,121,100,,No mobile play-by-play rows found for game_id 0022100811.
2021-22,2021,Regular Season,0022100812,2022-02-07,PHX,CHI,PHX @ CHI,127,124,,No mobile play-by-play rows found for game_id 0022100812.
2021-22,2021,Regular Season,0022100813,2022-02-07,GSW,OKC,GSW @ OKC,110,98,,No mobile play-by-play rows found for game_id 0022100813.
2021-22,2021,Regular Season,0022100814,2022-02-07,NYK,UTA,NYK @ UTA,104,113,,No mobile play-by-play rows found for game_id 0022100814.
2021-22,2021,Regular Season,0022100815,2022-02-08,PHX,PHI,PHX @ PHI,114,109,,No mobile play-by-play rows found for game_id 0022100815.
2021-22,2021,Regular Season,0022100816,2022-02-08,IND,ATL,IND @ ATL,112,133,,No mobile play-by-play rows found for game_id 0022100816.
2021-22,2021,Regular Season,0022100817,2022-02-08,BOS,BKN,BOS @ BKN,126,91,,No mobile play-by-play rows found for game_id 0022100817.
2021-22,2021,Regular Season,0022100819,2022-02-08,HOU,NOP,HOU @ NOP,97,110,,No mobile play-by-play rows found for game_id 0022100819.
2021-22,2021,Regular Season,0022100818,2022-02-08,LAC,MEM,LAC @ MEM,109,135,,No mobile play-by-play rows found for game_id 0022100818.
2021-22,2021,Regular Season,0022100820,2022-02-08,DET,DAL,DET @ DAL,86,116,,No mobile play-by-play rows found for game_id 0022100820.
2021-22,2021,Regular Season,0022100822,2022-02-08,MIL,LAL,MIL @ LAL,131,116,,No mobile play-by-play rows found for game_id 0022100822.
2021-22,2021,Regular Season,0022100823,2022-02-08,ORL,POR,ORL @ POR,113,95,,No mobile play-by-play rows found for game_id 0022100823.
2021-22,2021,Regular Season,0022100821,2022-02-08,NYK,DEN,NYK @ DEN,115,132,,No mobile play-by-play rows found for game_id 0022100821.
